Reflection ID,Reflection,Score 1 (WHAT),Score 2 (WHY),Score 3 (HOW),Overall Score
21a,"In today's class, we covered the concept of Just Culture and how it shapes the way organizations respond to medication errors. We reviewed the three behaviors in the Just Culture model: human error, which calls for consoling the person involved; at-risk behavior, which calls for coaching; and reckless behavior, which calls for discipline. We also discussed how a traditional blame-based culture drives near misses underground and prevents healthcare teams from learning about the system weaknesses that those near misses reveal. Learning about Just Culture is essential for my development as a pharmacist because it challenged my assumption that every medication error should be treated the same way. I used to believe that any error meant someone was careless, but I now see that treating a harried technician who made an honest slip the same as someone who deliberately bypassed a verification step is both unjust and bad for patient safety. If the staff fears retaliation, errors go unreported, which means the underlying system problems stay invisible. At my internship, I will commit to filing a formal near miss report through our incident reporting system any time I catch an error before it reaches the patient, even when it feels minor. I will also ask my preceptor during our weekly check-in to walk through one recent reported event with me so that I can learn how our site distinguishes between human error, at-risk behavior, and reckless behavior in practice.",2,2,2,6
21b,"Today we covered Just Culture and how healthcare organizations respond to medication errors depending on the behavior involved. We went over the three categories of human error, at-risk behavior, and reckless behavior, and how each one calls for a different response (consoling, coaching, or discipline). We also discussed how blame-based cultures discourage reporting of near misses, while Just Culture encourages staff to speak up. This topic is important to me because I used to assume all medication errors deserved the same consequence. Realizing that intent and system context matter has changed how I think about accountability in the pharmacy. It also made me reflect on how many near misses probably go unreported because staff are afraid of being blamed, and how that fear ends up hurting future patients by keeping broken systems in place. In my internship, I want to be more open when I make mistakes or see them happen.",2,2,1,5
21c,In class we talked about how workplaces handle medication errors differently. This topic is important because patient safety is a priority in pharmacy and we need to know how to respond when things go wrong. I thought it was a helpful discussion and I will think about it more as I get into my rotations.,1,1,0,2
22a,"Today's session focused on Root Cause Analysis (RCA) as a structured method for investigating medication errors and adverse events. We walked through a case involving an insulin overdose and used the Five Whys technique to move past the initial human error down to the system-level contributors, including a look-alike vial design, inadequate labeling on the floor stock, and a nursing workflow that allowed the barcode scanner to be bypassed. We also discussed how a good RCA focuses on what happened and why, not on who was responsible, and how it should produce system-level action items rather than individual blame. Learning about RCA is essential to my growth because I previously thought of error investigations as fact-finding missions aimed at identifying who was at fault. This session reshaped my understanding by showing that stopping at 'the nurse drew up the wrong dose' prevents meaningful improvement, because the real fix lies upstream in packaging, storage, and workflow design. It also reinforced my belief that pharmacists have a unique responsibility to advocate for system changes, since we see the medication use process end-to-end from prescribing to administration. At my internship, I will ask my preceptor whether I can sit in on any RCA or M&M conferences that happen during my rotation, and if I catch a near miss at the counter I will document the contributing system factors such as storage layout, look-alike packaging, and interruption patterns, in addition to noting what the individual did.",2,2,2,6
22b,"In class, we learned about Root Cause Analysis and how it is used to investigate medical errors. We also talked about the Five Whys technique for identifying why something happened. This learning matters because if we don't understand why errors happen, they will continue and patients will be harmed. Understanding this process helps pharmacists know what to do after an event. In the future, I will try to be more thoughtful about why errors happen and not just who made them.",2,1,1,4
22c,"Today we reviewed Root Cause Analysis and the Five Whys technique, which is a way of asking why something happened several times in a row until you get to the underlying reason. We also went over a case where an error happened and traced it back to system issues like labeling and workflow. This is important for pharmacists because we need to prevent mistakes and make sure patients get the right care. I will keep this in mind as I move through the program.",2,1,0,3
23a,"In today's introduction to patient safety, we reviewed the key taxonomy used to classify safety events: near misses (errors that are caught before reaching the patient), medication errors that reach the patient without causing harm, adverse drug events (injury from a medication, whether preventable or not), and sentinel events (unexpected events that result in death or serious physical or psychological harm). We also discussed The Joint Commission's requirement that sentinel events trigger a formal review, and we mapped a sterile compounding case onto this taxonomy to see how the same underlying failure can fall into different categories depending on whether and how it reaches the patient. Learning this taxonomy is important for my growth because I had previously been using 'medication error' as a catch-all. Having precise language matters both for accurate documentation and for picking the right improvement response. It also challenged my assumption that near misses are 'not a big deal' because no patient was harmed. Near misses are actually the highest-volume, lowest-cost signal we have about system weaknesses, and they deserve the same scrutiny as events that caused harm. During my upcoming hospital rotation, I will ask my preceptor to walk me through how events are categorized in the hospital's reporting platform, and I will use the correct terminology in my own documentation instead of defaulting to 'error.' When I catch a near miss at work, I will file it through the same reporting pathway I would use for a harm event.",2,2,2,6
23b,"Today we talked about the different terms used to describe safety events in healthcare, including near misses, errors, and adverse events. We also touched on how some events are considered more serious and get reported and reviewed more formally. This learning is important because I realized I have been using the word 'error' for everything, and that imprecision can affect how a problem is investigated and ultimately fixed. It also made me reflect on the value of near misses. At the pharmacy where I work, near misses happen often and most of them get mentioned to a coworker and then forgotten. I now see that each one of those is a warning sign that we are ignoring, which is humbling. Going forward, I want to pay more attention to safety events in my workplace.",1,2,1,4
23c,Today's class went over different safety terms used in healthcare. Patient safety is important because it affects patients and pharmacists have to learn about it. I am not yet sure how this will look in my future job but I will learn more as the class continues.,1,0,0,1
24a,"This session introduced human factors engineering and how cognitive errors contribute to medication safety events. We reviewed the main categories of cognitive failures, including slips (carrying out an intended action incorrectly, such as grabbing the wrong vial off the shelf), lapses (forgetting a step in a procedure), and mistakes (choosing the wrong course of action due to faulty reasoning or incomplete information). We also examined how confirmation bias, fatigue, interruptions, and high workload amplify these cognitive vulnerabilities, and how well-designed systems anticipate human error through forcing functions, redundancies, and standardization. A key takeaway was that human error is predictable and patterned, not a character flaw. This learning is foundational for my development as a pharmacist because it reframes errors as predictable responses to system conditions rather than moral failings. I reflected on times when I have almost made a dispensing error during busy shifts at my internship, and I realized that labeling myself 'careless' in those moments was both inaccurate and unhelpful. Recognizing workload, interruptions, and fatigue as measurable risk factors empowers me to advocate for workflow changes instead of relying on willpower to avoid mistakes. At my internship, I will start keeping a simple log of the situations in which I almost made an error (for example, when an interruption occurs mid-verification, or when I am the sole pharmacist on a holiday shift) so that I can bring concrete data to a conversation with my manager about workflow adjustments. I will also practice teach-back with patients at counseling so that my final cognitive check on a prescription happens in dialogue with the patient rather than alone in my head.",2,2,2,6
