Reflection ID,Reflection,Score 1 (WHAT),Score 2 (WHY),Score 3 (HOW),Overall Score
21a,This week we learned about drug shortages. Drug shortages can happen for many different reasons. There are things that pharmacists can do to help when there is a drug shortage. This is something that will be important when I am a pharmacist.,1,0,0,1
21b,"From this week's lecture on drug shortages, I learned that shortages stem from a combination of structural vulnerabilities: heavy reliance on single-source manufacturers, low profit margins that discourage investment in generic injectable production, and the fragility of global supply chains for active pharmaceutical ingredients (APIs) — many of which originate from a small number of countries. I also learned about which drug categories are most at risk, particularly sterile injectables and generic medications, and about the ethical frameworks pharmacists use to allocate limited supply, including considerations of clinical urgency and equity. This matters deeply to me as a future pharmacist because it reframes how I think about the medications I will dispense. Before this lecture, I assumed drug shortages were rare exceptions; now I understand they are a predictable, recurring feature of the healthcare system. This shift was uncomfortable but important — it means clinical competence alone is not enough; I must also develop systems-level awareness and proactive communication skills. The discussion of ethical allocation particularly challenged my assumption that distribution decisions are straightforward when supply is limited. In future rotations and practice, I plan to build shortage awareness into my daily workflow by routinely consulting the ASHP Drug Shortages database and FDA shortage list to anticipate supply disruptions before they reach the patient. When a shortage requires a therapeutic interchange, I will follow a structured approach: verify the clinical equivalence of available alternatives, identify differences in dosing, route of administration, and monitoring requirements, and communicate these changes clearly to the prescribing team. For patients, I will explain the shortage in plain language, outline the available options, and document the rationale for the selected alternative. I will also advocate within my institution for shortage management protocols that incorporate equity considerations, ensuring limited supply is distributed based on clinical need rather than access or purchasing power.",2,2,2,6
21c,"This week's lecture covered the causes and consequences of drug shortages in depth. I learned that shortages are driven by factors including limited manufacturing capacity, quality failures such as contamination at production facilities, over-reliance on single suppliers for active pharmaceutical ingredients, and low market profitability for generic medications — particularly sterile injectables. I also learned that pharmacists play a central role in shortage management, including identifying therapeutic alternatives and supporting ethical allocation decisions when supply is critically limited. This is important because drug shortages directly affect patient care, and understanding the root causes helps me see shortages as a systemic issue rather than random bad luck. Knowing this will be relevant to my future career, since I may regularly encounter situations where first-line medications are unavailable. In the future, I will try to stay informed about current drug shortages and work with providers to find appropriate alternatives when medications are unavailable. I hope to apply what I learned in my upcoming rotations.",2,1,1,4
22a,"I learned about drug shortages this week and some of the reasons why they happen. Drug shortages can impact patients and healthcare providers in many ways. This is something that is important for pharmacists to be aware of. In the future, I will do my best to keep up with drug shortages and try to find solutions for patients when needed.",1,0,1,2
22b,"This week I gained a much more nuanced understanding of the structural causes of drug shortages. I learned that the generic drug market — especially for sterile injectables — operates on such thin profit margins that manufacturers have little financial incentive to invest in redundant production capacity or rapid quality remediation. When a manufacturer receives an FDA warning letter or encounters a contamination event, they may face months-long production halts with no other producer able to absorb the volume. Compounding this, API sourcing is highly concentrated: a significant proportion of APIs used in U.S. drug products originate from a small number of facilities, primarily in India and China, creating geopolitical and logistical vulnerabilities. I also learned about specific shortage management strategies, including allocation protocols, therapeutic interchanges, and conservation practices such as dose optimization. This lecture challenged a belief I had held without examining: that if a drug is on the market, it will generally be available. Understanding the root causes of shortage makes me realize that drug availability is not guaranteed, and that pharmacists are among the frontline professionals responsible for managing this uncertainty safely. This matters for my development because it adds a layer of complexity to clinical decision-making that I had not fully appreciated — I will need to consider not just what is clinically optimal, but also what is actually accessible, and how to protect patients when optimal options are unavailable. I saw a version of this during my IPPE rotation when a patient's antiepileptic medication was on shortage and the team had to urgently identify an alternative and carefully monitor the transition. Going forward, I will incorporate shortage surveillance into my professional practice by setting up alerts through the ASHP and FDA shortage databases. When managing a therapeutic interchange, I will systematically evaluate the alternative for pharmacokinetic equivalence, dosing and administration differences, new monitoring parameters, and patient-specific contraindications, and document my clinical rationale clearly in the patient record. In community practice, I will proactively contact the prescriber when a drug is unavailable rather than waiting for the patient to discover it at pick-up, and I will explain the situation and proposed alternative in plain, reassuring language. I also intend to participate in institutional shortage committees as I advance in my career, contributing to allocation policies grounded in clinical need and equity.",2,2,2,6
22c,Drug shortages are a problem that affect many people. It is important for pharmacists to be aware that they can happen. There are many things that can be done to help patients during a drug shortage.,0,1,0,1
23a,"The most significant learning from this week's drug shortage lecture was understanding the interplay between market economics and patient safety. Specifically, I learned that the U.S. drug shortage problem is driven by several reinforcing factors: the race-to-the-bottom economics of generic manufacturing, where profit margins are so thin that a single recall or FDA enforcement action can eliminate a company's ability to produce a critical medication; the consolidation of drug manufacturing into a small number of large facilities; and chronic underinvestment in domestic API production. I also learned about practical shortage management frameworks used by pharmacists, including the ASHP drug shortage management guidelines, which outline steps from shortage identification and impact assessment to therapeutic interchange selection and communication planning. Finally, I learned that oncology agents and sterile injectables are disproportionately affected, which has serious implications for vulnerable patient populations who cannot tolerate treatment delays. This information changed the way I think about my future role. I had previously thought of therapeutic interchange as an inconvenient workaround for edge cases; now I understand it as a core clinical skill that pharmacists may exercise regularly, sometimes under time pressure, and with real consequences for patient outcomes. The fact that chemotherapy drugs are frequently in shortage particularly struck me: these are patients for whom a treatment delay can have life-altering consequences. The ethical weight of deciding who receives the available supply — and on what basis — is something I had not grappled with before this lecture, and it made me think of my responsibility not just as a drug expert but as an advocate for equitable access. For my upcoming hospital rotations, I will ask preceptors about shortage management protocols in place at each institution and actively participate in reviewing any current shortages on the unit. I will practice running through a therapeutic interchange evaluation for at least one shortage scenario per rotation — confirming pharmacologic class, comparing pharmacokinetic profiles, identifying dose conversion requirements, and flagging new monitoring parameters. I will also draft patient-friendly explanations of common shortage scenarios and refine them with preceptor feedback. After graduation, I intend to contribute to my institution's Pharmacy and Therapeutics committee, helping develop shortage contingency plans informed by both clinical evidence and equity principles.",2,2,2,6
23b,"This week I learned about the causes and consequences of drug shortages in the United States. Shortages are primarily driven by market forces — particularly the low profitability of generic drug manufacturing — which discourages investment in production capacity and quality systems. When a quality problem such as a contamination event occurs, manufacturers in a low-margin industry often lack the resources to remediate quickly, prolonging the shortage. I also learned about categories of drugs most susceptible to shortage, including sterile injectables and oncology medications, and about the ASHP shortage management guidelines that pharmacists use to guide their response. Understanding the root causes of drug shortages is important for my development as a pharmacist because it helps me anticipate supply problems and understand why they happen. It is relevant to know that shortages are a systemic and recurring issue, not just rare emergencies, and this will make me a more informed and prepared professional.",2,2,0,4
23c,We had a lecture this week. The topic was interesting and I think it is relevant to pharmacy. I will keep this in mind going forward.,0,0,0,0
24a,"This week's presentation gave me a much clearer picture of why drug shortages occur and how far-reaching their consequences can be. I learned that shortages rarely have a single cause; instead, they result from overlapping vulnerabilities in the pharmaceutical supply chain — including heavy API sourcing from a limited number of overseas facilities, the economics of generic drug production that discourage manufacturers from maintaining excess capacity, and the slow recovery time following FDA quality enforcement actions. I also learned about the categories of medications most at risk, particularly sterile injectables and narrow-therapeutic-index drugs, and about the tools pharmacists use to respond, including therapeutic interchange protocols and shortage allocation frameworks. Before this lecture, I had not appreciated how structural the shortage problem is. I assumed shortages were caused primarily by external shocks like natural disasters or pandemics — and while those events do contribute, the lecture helped me see that the underlying fragility already exists, and those events simply expose it. This was a meaningful shift in perspective because it means shortages are partially predictable, and pharmacists who understand the system can act proactively rather than just reactively. This also connected to an experience I had during my community pharmacy IPPE, when my preceptor had to navigate a backorder on a patient's thyroid medication — something I did not fully understand at the time but can now place within a larger systemic picture. Going forward, I want to be more proactive about staying informed on current drug shortages. I know that databases like the ASHP Drug Shortages Resource Center exist and I plan to consult them regularly in practice.",2,2,1,5
24b,"From this week's lecture I learned that drug shortages are a predictable, recurring consequence of structural vulnerabilities in the U.S. pharmaceutical supply chain. Key drivers include the consolidation of generic drug manufacturing among a small number of facilities operating on thin profit margins; heavy dependence on overseas API sources from a limited number of countries, creating single points of failure; and the FDA regulatory environment, in which enforcement actions — though necessary for quality — can trigger prolonged supply disruptions when no alternative manufacturer exists. I also learned about the disproportionate impact on sterile injectables, oncology agents, and critical care medications, and about specific tools pharmacists use during shortages: the ASHP and FDA shortage databases, therapeutic interchange protocols, conservation strategies such as dose optimization, and ethical allocation frameworks for critically limited supplies. This lecture fundamentally shifted how I think about drug availability. I had previously taken for granted that if a medication was clinically appropriate, it would generally be accessible. Now I understand that drug access is a managed resource that requires active attention. This matters because it broadens what clinical competence means: a skilled pharmacist must know not just what the best therapy is, but whether it will be available and have a plan for when it is not. This connects to values I hold around health equity — the lecture raised the uncomfortable reality that shortages often hit safety-net institutions and underserved populations hardest, because they lack the purchasing power and storage capacity of larger academic medical centers. That systemic inequity is something I want to actively work against in my career. In my upcoming rotations, I will begin each clinical day by checking the ASHP Drug Shortages database for medications relevant to that practice setting and discuss any active shortages with my preceptor. When I encounter a therapeutic interchange scenario, I will work through a structured evaluation: verifying pharmacologic equivalence, identifying dose conversion factors, assessing differences in monitoring parameters and adverse effect profiles, and documenting my clinical rationale in the patient chart. I will practice communicating shortage situations to providers in a solution-oriented way — not just flagging a problem, but presenting a vetted alternative with supporting rationale. For community practice, I will prepare patient-centered shortage conversations that explain why the shortage has occurred, what alternative is available, and what differences the patient should be aware of, in language that is reassuring rather than alarming.",2,2,2,6
24c,I learned this week that drug shortages can happen. Some medications are more commonly affected than others. Pharmacists need to know about drug shortages and how they can affect patients.,1,0,0,1
25a,"Today's session looked at how pharmacists communicate with patients when a prescribed medication is on shortage, and what makes that conversation succeed or fail. I learned that the most common failure mode is the ""silent substitution"" — filling an alternative without explaining the change — which patients often discover at home and which erodes trust in the entire pharmacy. We reviewed a structured approach: confirm the shortage with the wholesaler and verify therapeutic equivalence, contact the prescriber before counseling so a documented plan exists, then explain to the patient (1) what the shortage is, (2) what the alternative is and why it is appropriate, (3) any differences in administration, side effects, or cost they should expect, and (4) what to do if the original drug becomes available again.

This mattered to me because I had not appreciated how much of shortage management is fundamentally a communication problem rather than a procurement problem. A patient who feels surprised or dismissed during a shortage will avoid future fills, skip doses, or seek out unverified online suppliers — all of which can harm them more than the shortage itself. The session reframed for me that the pharmacist's clinical reasoning during a shortage only protects the patient if it is translated into clear, calm language they can act on.

I will apply this at my community internship by (1) drafting a short ""shortage script"" with my preceptor that I can adapt for the most commonly affected classes (ADHD stimulants, GLP-1s, injectable antibiotics); (2) committing to always document the prescriber contact and counseling in the patient's profile rather than relying on memory; and (3) following up with at least one patient by phone after a shortage substitution during my first month to learn directly what was unclear in my counseling.",2,2,2,6
25b,"This week we discussed how pharmacists should communicate with patients when a medication is on shortage. The main idea is that patients need to be told clearly when their medication is being substituted, why, and what the differences are. We talked about how silent substitutions damage trust and can lead patients to stop taking their medication or look for it elsewhere.

This is important because communication during a shortage is part of patient safety, not just an inconvenience. If patients don't understand the change, they may not take the new medication correctly. At my internship I will try to be clear with patients when there are substitutions and explain what they need to know.",2,1,1,4
25c,We talked about drug shortages this week and how to talk to patients about them. Communication is important in pharmacy. I will try to communicate well with patients in the future.,1,0,1,2
