Reflection ID,Reflection,Score 1 (WHAT),Score 2 (WHY),Score 3 (HOW),Overall Score
21a,"In today's session on high-alert medications (HAMs), I learned that HAMs are medications that bear a heightened risk of causing significant patient harm when used in error, and that the Institute for Safe Medication Practices (ISMP) publishes a widely-used list that groups them both by class (e.g., anticoagulants such as heparin and warfarin, insulins, opioids, neuromuscular blocking agents, and concentrated electrolytes such as potassium chloride) and by specific drug name. I also learned that The Joint Commission requires hospitals to maintain their own facility-specific HAM list tailored to prescribing patterns and patient populations, and to implement targeted risk-reduction strategies at every stage of the medication use process: prescribing, transcribing, dispensing, administering, and monitoring. We also reviewed the hierarchy of safety interventions — from high-leverage strategies like forcing functions (e.g., removing concentrated KCl from floor stock) and constraints, to medium-leverage strategies like standardization and barcoding, down to low-leverage strategies like education and reminders. This learning matters for my growth because it reframes how I think about patient safety. I used to assume that catching an error at the bedside through careful double-checking was the core of safe practice, but this session challenged that assumption by showing me that independent double-checks are a low-to-medium power strategy and can fail under time pressure or cognitive load. Understanding the power hierarchy pushes me to evaluate safety interventions more critically and to advocate for system-level fixes rather than relying on personal vigilance. It also deepens my appreciation for why a pharmacist's role extends beyond verification and into operational design. I will apply this learning during my hospital rotation by first asking my preceptor for the institutional HAM list and reviewing the specific safeguards in place — for example, smart-pump drug libraries for insulin infusions, tall-man lettering for look-alike/sound-alike HAMs, and mandatory independent double-checks for pediatric chemotherapy. When I encounter a HAM order, I will intentionally pause to verify indication, dose, route, and monitoring parameters before verifying it. If I identify a gap — for example, a HAM without an associated hard-stop in the order set — I will document it and bring it to my preceptor to discuss whether a higher-leverage safeguard could be added.",2,2,2,6
21b,"In today's session, I learned that high-alert medications (HAMs) are drugs that have a heightened risk of causing significant patient harm when used in error, and that the Institute for Safe Medication Practices (ISMP) publishes a list of these medications that includes classes such as anticoagulants, insulins, opioids, neuromuscular blockers, and concentrated electrolytes. I also learned that hospitals are required to maintain their own facility-specific HAM list and to use a range of error-reduction strategies including forcing functions, standardization, and education. This matters because medication errors can seriously harm patients, and HAMs in particular can lead to severe outcomes. It's important for pharmacists to know about these medications so we can help keep patients safe. In the future, I will try to be more careful with HAMs and follow the hospital's safety procedures when I see them.",2,1,1,4
21c,"Today's class covered an important topic in patient safety. Medications can sometimes cause harm, and it is important for healthcare workers to be careful. This matters because patient safety is one of the most important goals in healthcare, and pharmacists play a key role. I will keep this in mind going forward and try to do my best in practice.",0,0,0,0
22a,"In this week's session, we discussed high-alert medications and how errors can happen at different points along the way. We talked about how hospitals try to reduce these risks using different strategies. This learning matters to me because it changed my understanding of where medication safety actually lives. I used to think about safety as happening at the final step — the pharmacist checking the order or the nurse administering the drug — but this session helped me realize that errors are often introduced much earlier, at the prescribing or transcribing stage, and the later steps are just the last chance to catch them. This is important for my development because it shifts my mental model from ""catch errors at the end"" to ""design each step to make errors less likely in the first place."" It also makes me more aware that my own future decisions as a pharmacist — the order sets I use, the clarifications I ask for, how I communicate with nurses — are all part of a shared system. I want to approach HAMs with that systems mindset rather than relying on individual carefulness. In the future, I will try to be mindful of HAMs when I see them at work.",1,2,1,4
22b,"In this week's session on high-alert medications (HAMs), I learned that errors involving HAMs can occur at any of the five stages of the medication use process — prescribing, transcribing, dispensing, administering, and monitoring — and that targeted safeguards need to be layered at each stage rather than concentrated at a single point. Specific examples we reviewed included dose-range checks and standardized concentration libraries at prescribing; computerized provider order entry (CPOE) with embedded clinical decision support to eliminate transcription; barcode medication administration (BCMA) and independent double-checks at dispensing and administering; and protocolized laboratory monitoring (e.g., anti-Xa or INR for anticoagulants, glucose checks for insulin drips) during monitoring. We also discussed how many sentinel events involving HAMs like heparin and insulin trace back to upstream issues such as look-alike packaging or ambiguous orders, rather than failures at the bedside. This learning matters for my growth because it reshapes how I conceptualize medication safety. Previously I assumed the pharmacist's main contribution was the verification step, but this session showed me that the most leverage actually comes from designing the upstream system — the order set, the product selection, the storage configuration — so that the dangerous action becomes difficult or impossible. It also challenged my assumption that errors reflect individual inattention; in reality, well-intentioned clinicians can be set up to fail by poorly designed processes. That insight is foundational to how I want to practice. I will apply this in my APPE rotations by asking to review at least one sentinel event or medication-error case involving a HAM at each site and tracing where along the medication use process the failure occurred. When I verify HAM orders, I will not just confirm the dose is appropriate but also note whether upstream safeguards like indication-linked order sets and concentration standardization were used. If I identify a recurring weak point — for example, nurses repeatedly calling to clarify a heparin protocol — I plan to bring it up in a P&T or medication safety committee meeting as a candidate for a system-level fix.",2,2,2,6
22c,"Today we talked about medications that can be dangerous and the different steps of giving medications to patients. Errors can happen at any step. This is just part of the course, so we need to know it. At my internship, I will watch for mistakes with these medications and try to be careful.",0,0,1,1
23a,"Today we talked about high-alert medications and how some of them can look alike or sound alike, which can cause confusion. This is an important topic in pharmacy. I will try to pay attention to drug names at my internship and be careful when I dispense medications that look or sound similar.",1,0,1,2
23b,"In today's session on high-alert medications (HAMs), I learned that a significant share of HAM errors stem from look-alike/sound-alike (LASA) confusion and packaging-related failures. ISMP and the FDA maintain confusable-name pair lists — for example, hydroxyzine vs. hydralazine, DOBUTamine vs. DOPamine, and insulin products with similar branding across concentrations (U-100 vs. U-500 regular insulin) — and recommend specific mitigations such as tall-man lettering (e.g., ""DOBUTamine""/""DOPamine""), physical separation of storage bins, distinct auxiliary labels, and purchasing from different manufacturers when possible to avoid near-identical vials. We also discussed how unit-dose packaging, barcode scanning at dispensing and administration, and removal of concentrated electrolytes from floor stock have been shown in the literature to meaningfully reduce HAM errors at the system level. This matters for my development because it concretely illustrates that ""being careful"" is not sufficient protection against errors that are built into the physical environment. I had not previously thought about the vial label, the bin location, or even the typeface as safety interventions, but the session helped me see that these are exactly the high-leverage levers that remove reliance on memory and vigilance. This reframes the pharmacist's role as partly that of a human-factors designer: every choice about storage, labeling, and workflow is a safety decision. It also makes me more humble about my own susceptibility to LASA errors — I now understand that I can be well-trained and still mix up DOBUTamine and DOPamine if the system sets me up to. I will apply this at my hospital rotation by doing a walk-through of the automated dispensing cabinet and pharmacy shelves with my preceptor and identifying any LASA pairs that are stored adjacent to each other, flagging them for separation or additional labeling. I also plan to review our facility's tall-man lettering policy to check that it aligns with the current ISMP list, and to observe a BCMA workflow at administration to understand where an unscanned HAM would still be caught. If I see a near-miss involving a LASA HAM, I will write it up through the institution's event-reporting system so the pattern can be tracked and addressed.",2,2,2,6
23c,"In today's session on high-alert medications (HAMs), I learned that look-alike/sound-alike (LASA) confusion and packaging-related failures contribute to a substantial share of HAM errors. ISMP and the FDA publish lists of confusable name pairs — such as hydralazine vs. hydroxyzine and DOBUTamine vs. DOPamine — and recommend mitigations including tall-man lettering, physical separation of storage, distinct auxiliary labeling, and purchasing from multiple manufacturers so that similar-looking vials do not sit side by side on the shelf. This matters for my development because it illustrates that ""being careful"" is not sufficient protection against errors that are built into the physical environment. I had not previously thought about a vial label or a storage bin location as safety interventions, but the session made me see that these are actually high-leverage levers because they reduce reliance on memory and vigilance. That reframes the pharmacist's role — we are partly human-factors designers, and every choice about storage, labeling, and workflow is a safety decision. It also makes me more humble about my own susceptibility to LASA errors, because I now understand that I can be well-trained and still mix up two similar names if the system sets me up to. In my future practice, I want to be thoughtful about LASA medications and do my part to reduce these kinds of errors.",2,2,1,5
24a,"In this week's class, I learned how safety strategies differ across specific high-alert medications based on the type of harm each one causes. For insulin, key safeguards include standardized U-100 concentration (with U-500 kept out of floor stock and dispensed in patient-specific doses only), bedside blood-glucose verification before administration, and avoiding the abbreviation ""U"" on handwritten orders because it is frequently misread as a zero and leads to ten-fold overdoses. For heparin, safeguards include standardized IV concentrations, weight-based dosing protocols with built-in maximums, anti-Xa or aPTT monitoring protocols, and separate storage of unfractionated heparin from low-molecular-weight heparin to prevent product mix-ups. For chemotherapy, safeguards include a two-pharmacist independent verification of the order and the compounded product, patient-specific body-surface-area (BSA) dose checks, verification of cumulative lifetime doses for agents like anthracyclines (to prevent irreversible cardiotoxicity), and administration only by credentialed oncology nurses. This learning matters for my growth because it teaches me that high-alert medication safety is not a single generic checklist — it is a set of drug-specific, failure-mode-specific defenses. Before this session I thought of HAMs as a homogeneous category that required uniform extra care. Now I understand that the ""extra care"" is shaped by the pharmacology and the most likely error for that specific drug: hypoglycemia from insulin, bleeding from heparin, irreversible cardiotoxicity from anthracyclines. That insight pushes me to learn each HAM's mechanism and failure modes deeply rather than treating them as interchangeable. I will apply this during my hospital IPPE and APPE rotations by building a personal reference for the top five HAMs at each site — what the most common errors are, what safeguards exist at that institution, and where the safeguards have known gaps. When I verify an insulin or heparin order, I will explicitly check the concentration, weight-based dose, and indication against the protocol rather than relying only on whether the order ""looks reasonable."" For chemotherapy, I will shadow the oncology pharmacist's independent verification process and practice the checks under supervision before performing them myself.",2,2,2,6
